Title;Year;Rated;Runtime;Genre;Director;Writer;Actors;Plot;Language;Country;imdbRating;BoxOffice;Production
Delivery Man;2013;PG-13;105;Comedy, Drama;Ken Scott;"Ken Scott (written for the screen by), Ken Scott (original screenplay """"Starbuck""""), Martin Petit (original screenplay """"Starbuck"""")";Vince Vaughn, Chris Pratt, Cobie Smulders, Andrzej Blumenfeld;An affable underachiever finds out he's fathered 533 children through anonymous donations to a fertility clinic 20 years ago. Now he must decide whether or not to come forward when 142 of them file a lawsuit to reveal his identity.;English;USA;6.4;30659817;Walt Disney Pictures
Dallas Buyers Club;2013;R;117;Biography, Drama;Jean-Marc Vallée;Craig Borten, Melisa Wallack;Matthew McConaughey, Jennifer Garner, Jared Leto, Denis O'Hare;In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease.;English, Japanese;USA;8.0;23750994;Focus Features
Short Term 12;2013;R;96;Drama;Destin Daniel Cretton;Destin Daniel Cretton;Brie Larson, John Gallagher Jr., Stephanie Beatriz, Rami Malek;A 20-something supervising staff member of a residential treatment facility navigates the troubled waters of that world alongside her co-worker and longtime boyfriend.;English;USA;8.0;NULL;Cinedigm
Madras Cafe;2013;NULL;130;Action, Drama, History;Shoojit Sircar;Shubhendu Bhattacharya (story and screenplay), Juhi Chaturvedi (dialogue), Somnath Dey (story and screenplay), Dusan Tolmac (additional screenplay);Nargis Fakhri, John Abraham, Rashi Khanna, Avijit Dutt;An Indian intelligence agent journeys to a war-torn coastal island to break a resolute rebel group and meets a passionate journalist.;Hindi;India;7.7;NULL;Viva Entertainment
The World's End;2013;R;109;Action, Comedy, Sci-Fi;Edgar Wright;Simon Pegg, Edgar Wright;Thomas Law, Zachary Bailess, Jasper Levine, James Tarpey;Five friends who reunite in an attempt to top their epic pub crawl from twenty years earlier unwittingly become humanity's only hope for survival.;English;UK, USA, Japan;7.0;33408732;Focus Features
Blue Jasmine;2013;PG-13;98;Drama;Woody Allen;Woody Allen;Cate Blanchett, Joy Carlin, Richard Conti, Glen Caspillo;A New York socialite, deeply troubled and in denial, arrives in San Francisco to impose upon her sister. She looks a million, but isn't bringing money, peace, or love...;English;USA;7.3;NULL;Sony Pictures Classics
R100;2013;UNRATED;99;Comedy, Drama;Hitoshi Matsumoto;Hitoshi Matsumoto (screenplay), Mitsuyoshi Takasu (screenplay), Tomoji Hasegawa (screenplay), Kôji Ema (screenplay), Mitsuru Kuramoto (screenplay);Nao Ohmori, Mao Daichi, Shinobu Terajima, Hairi Katagiri;An ordinary man with an ordinary life joins a mysterious club. The membership lasts for one year only and there is one rule: no cancellation under any circumstance. The man enters into a ...;Japanese, English;Japan;6.1;24068;Drafthouse Films
The Railway Man;2013;R;116;Biography, Drama, Romance;Jonathan Teplitzky;Frank Cottrell Boyce (screenplay), Andy Paterson (screenplay), Eric Lomax (book);Jeremy Irvine, Colin Firth, Stellan Skarsgård, Michael MacKenzie;A former British Army officer, who was tormented as a prisoner of war at a Japanese labor camp during World War II, discovers that the man responsible for much of his treatment is still alive and sets out to confront him.;English, Japanese;Switzerland, UK, Australia;7.1;4146580;The Weinstein Company
The Immigrant;2013;R;120;Drama, Romance;James Gray;James Gray, Ric Menello;Marion Cotillard, Joaquin Phoenix, Jeremy Renner, Dagmara Dominczyk;1921. An innocent immigrant woman is tricked into a life of burlesque and vaudeville until a dazzling magician tries to save her and reunite her with her sister who is being held in the confines of Ellis Island.;English, Polish, Latin;USA;6.6;1300791;The Weinstein Company
Nebraska;2013;R;115;Adventure, Comedy, Drama;Alexander Payne;Bob Nelson;Bruce Dern, Will Forte, June Squibb, Bob Odenkirk;An aging, booze-addled father makes the trip from Montana to Nebraska with his estranged son in order to claim a million-dollar Mega Sweepstakes Marketing prize.;English, Spanish;USA;7.7;11348612;Paramount Pictures
Epic;2013;PG;102;Animation, Adventure, Family;Chris Wedge;"James V. Hart (screenplay), William Joyce (screenplay), Daniel Shere (screenplay), Tom J. Astle (screenplay), Matt Ember (screenplay), William Joyce (story), James V. Hart (story), Chris Wedge (story), William Joyce (Leafmen characters from book """"The Leaf Men and the Brave Good Bugs"""")";Blake Anderson, Aziz Ansari, Allison Bills, Jim Conroy;A teenager finds herself transported to a deep forest setting where a battle between the forces of good and the forces of evil is taking place. She bands together with a rag-tag group of characters in order to save their world -- and ours.;English;USA;6.7;107515297;Twentieth Century Fox
Nurse 3D;2013;R;84;Horror, Thriller;Douglas Aarniokoski;Douglas Aarniokoski (screenplay), David Loughery (screenplay);Paz de la Huerta, Katrina Bowden, Judd Nelson, Corbin Bleu;By day, Abby Russell is a dedicated nurse, but by night, she lures cheating men to their brutal deaths and exposes them for who they really are.;English;USA;4.6;NULL;The Film Arcade
The Knife of Don Juan;2013;NULL;99;Comedy, Drama;Tom Sanchez;Tom Sanchez (screenplay);Juan Carlos Montoya, Rodrigo Viaggio, Irma Maury, Antonio Arrué;The fate of an arm wrestling match leads two brothers to a house party where the younger one hopes to lose his virginity, but when things get out of hand the boys must overcome their sibling rivalry if they are going to save the day.;Spanish;USA, Peru;7.2;NULL;NULL
The Wolf of Wall Street;2013;R;180;Biography, Comedy, Crime;Martin Scorsese;Terence Winter (screenplay), Jordan Belfort (book);Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey;Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.;English, French;USA;8.2;91330760;Paramount Studios
47 Ronin;2013;PG-13;128;Action, Adventure, Drama;Carl Rinsch;Chris Morgan (screenplay), Hossein Amini (screenplay), Chris Morgan (screen story by), Walter Hamada (screen story by);Keanu Reeves, Hiroyuki Sanada, Ko Shibasaki, Tadanobu Asano;A band of samurai set out to avenge the death and dishonor of their master at the hands of a ruthless shogun.;English, Japanese;USA;6.3;20518224;Universal Pictures
The Secret Life of Walter Mitty;2013;PG;114;Adventure, Comedy, Drama;Ben Stiller;Steve Conrad (screenplay), Steve Conrad (screen story by), James Thurber (based on the short story by);Ben Stiller, Kristen Wiig, Jon Daly, Kathryn Hahn;When his job along with that of his co-worker are threatened, Walter takes action in the real world embarking on a global journey that turns into an adventure more extraordinary than anything he could have ever imagined.;English, Spanish, Icelandic;USA, UK, Canada, Australia;7.3;33223430;20th Century Fox
Grudge Match;2013;PG-13;113;Comedy, Drama, Sport;Peter Segal;Tim Kelleher (screenplay), Rodney Rothman (screenplay), Tim Kelleher (story);Jim Lampley, Sylvester Stallone, Robert De Niro, Rich Little;A pair of aging boxing rivals are coaxed out of retirement to fight one final bout -- 30 years after their last match.;English;USA;6.4;14885004;Warner Bros. Pictures
Mandela: Long Walk to Freedom;2013;PG-13;141;Biography, Drama, History;Justin Chadwick;William Nicholson (screenplay), Nelson Mandela (autobiography);Idris Elba, Naomie Harris, Tony Kgoroge, Riaad Moosa;A chronicle of Nelson Mandela's life journey from his childhood in a rural village through to his inauguration as the first democratically elected president of South Africa.;English, Afrikaans, Xhosa;UK, South Africa;7.1;4733032;The Weinstein Co.
Thunder and the House of Magic;2013;NULL;85;Animation, Adventure, Comedy;Jeremy Degruson, Ben Stassen;Ben Stassen (story), James Flynn (screenplay), Domonic Paris (screenplay), Ben Stassen (screenplay);Cinda Adams, George Babbit, Brianne Brozey, Kathleen Gati;Thunder, an abandoned young cat seeking shelter from a storm, stumbles into the strangest house imaginable, owned by an old magician and inhabited by a dazzling array of automatons and gizmos.;English, French, German;Belgium, UK, France;6.3;1606608;Shout! Factory
Hansel & Gretel: Witch Hunters;2013;R;88;Action, Fantasy, Horror;Tommy Wirkola;Tommy Wirkola;Jeremy Renner, Gemma Arterton, Famke Janssen, Pihla Viitala;Hansel & Gretel are bounty hunters who track and kill witches all over the world. As the fabled Blood Moon approaches, the siblings encounter a new form of evil that might hold a secret to their past.;English;Germany, USA;6.1;55000000;Paramount Pictures/MGM
Parker;2013;R;118;Action, Crime, Romance;Taylor Hackford;John J. McLaughlin (screenplay), Donald E. Westlake (novel);Jason Statham, Jennifer Lopez, Michael Chiklis, Wendell Pierce;A thief with a unique code of professional ethics is double-crossed by his crew and left for dead. Assuming a new disguise and forming an unlikely alliance with a woman on the inside, he looks to hijack the score of the crew's latest heist.;English;USA;6.2;17609982;FilmDistrict
Movie 43;2013;R;94;Comedy, Romance;Elizabeth Banks, Steven Brill, Steve Carr, Rusty Cundieff, James Duffy, Griffin Dunne, Peter Farrelly, Patrik Forsberg, Will Graham, James Gunn, Brett Ratner, Jonathan van Tulleken, Bob Odenkirk;Rocky Russo, Jeremy Sosenko, Ricky Blitt, Rocky Russo (screenplay), Jeremy Sosenko (screenplay), Bill O'Malley (story), Will Graham, Jack Kukoda, Rocky Russo, Jeremy Sosenko, Matt Portenoy, Rocky Russo (screenplay), Jeremy Sosenko (screenplay), Claes Kjellstrom (story), Jonas Wittenmark (story), Tobias Carlson (story), Will Carlough, Jonathan van Tulleken, Elizabeth Shapiro, Patrik Forsberg, Olle Sarri, Jacob Fleisher, Greg Pritikin, Rocky Russo, Jeremy Sosenko, James Gunn;Dennis Quaid, Greg Kinnear, Common, Charlie Saxton;A series of interconnected short films follows a washed-up producer as he pitches insane story lines featuring some of the biggest stars in Hollywood.;English;USA;4.3;8700000;Relativity Media
Drinking Buddies;2013;R;90;Comedy, Drama, Romance;Joe Swanberg;Joe Swanberg;Olivia Wilde, Jake Johnson, Anna Kendrick, Ron Livingston;Luke and Kate are coworkers at a brewery who spend their nights drinking and flirting heavily. One weekend away together with their significant others proves who really belongs together and who doesn't.;English;USA;6.1;200000;Magnolia Pictures
The Counsellor;2013;R;117;Crime, Drama, Thriller;Ridley Scott;Cormac McCarthy;Michael Fassbender, Penélope Cruz, Cameron Diaz, Javier Bardem;A lawyer finds himself in over his head when he gets involved in drug trafficking.;English, Spanish, Dutch;UK, USA;5.3;14696331;Fox Films
Bad Grandpa;2013;R;92;Comedy;Jeff Tremaine;Johnny Knoxville (screenplay), Spike Jonze (screenplay), Jeff Tremaine (screenplay), Johnny Knoxville (story), Spike Jonze (story), Jeff Tremaine (story), Fax Bahr (story), Adam Small (story);Johnny Knoxville, Jackson Nicoll, Greg Harris, Georgina Cates;86-year-old Irving Zisman takes a trip from Nebraska to North Carolina to take his 8 year-old grandson, Billy, back to his real father.;English;USA;6.6;84961415;Paramount Pictures
Khumba;2013;NOT RATED;85;Animation, Adventure, Family;Anthony Silverston;Raffaella Delle Donne, Anthony Silverston, Jonathan Roberts (additional screenplay), Camilla Bubna-Kasteliz (script editor), Mike de Seve (additional dialogue), Joe Vitale (additional dialogue), Dave Bejoya (additional dialogue);Jake T. Austin, Adrian Rhodes, Sam Riegel, Bryce Papenbrook;Rejected by his superstitious herd, a half-striped zebra embarks on a daring quest to earn his stripes but finds the courage and self-acceptance to save all the animals of the Great Karoo.;English;South Africa;5.8;90465;Millenium Entertainment
Ida;2013;PG-13;82;Drama;Pawel Pawlikowski;Pawel Pawlikowski (screenplay), Rebecca Lenkiewicz (screenplay);Agata Kulesza, Agata Trzebuchowska, Dawid Ogrodnik, Jerzy Trela;Anna, a young novitiate nun in 1960s Poland, is on the verge of taking her vows when she discovers a dark family secret dating back to the years of the German occupation.;Polish, Latin, French;Poland, Denmark, France, UK;7.4;NULL;Music Box Films
The Green Inferno;2013;R;100;Adventure, Horror;Eli Roth;Guillermo Amoedo (screenplay), Eli Roth (screenplay);Lorenza Izzo, Ariel Levy, Daryl Sabara, Kirby Bliss Blanton;A group of student activists travels to the Amazon to save the rain forest and soon discover that they are not alone, and that no good deed goes unpunished.;English;USA, Chile, Canada;5.4;7154957;High Top Releasing
The Big Wedding;2013;R;89;Comedy, Drama, Romance;Justin Zackham;"Justin Zackham (screenplay), Jean-Stéphane Bron (motion picture """"Mon frère se marie""""), Karine Sudan (motion picture """"Mon frère se marie"""")";Robert De Niro, Katherine Heigl, Diane Keaton, Amanda Seyfried;A long-divorced couple fakes being married as their family unites for a wedding.;English, Spanish, Chinese, Latin;USA;5.6;21500000;Lionsgate Films
Pain & Gain;2013;R;129;Comedy, Crime, Drama;Michael Bay;Christopher Markus (screenplay), Stephen McFeely (screenplay), Pete Collins (based on the magazine articles by);Mark Wahlberg, Dwayne Johnson, Anthony Mackie, Tony Shalhoub;A trio of bodybuilders in Florida get caught up in an extortion ring and a kidnapping scheme that goes terribly wrong.;English;USA;6.5;49300000;Paramount Studios
Ugly;2013;NULL;128;Crime, Drama, Mystery;Anurag Kashyap;Akhilesh Jaiswal (additional writer), Anurag Kashyap, Rohit Pandey (additional writer);Rahul Bhat, Ronit Roy, Tejaswini Kolhapure, Vineet Kumar Singh;The case of a missing girl takes us through a journey of human greed and brushes upon the egos and repressed emotions of the characters.;Hindi;India;8.1;NULL;Phantom Films
A Plague So Pleasant;2013;NULL;76;Drama, Horror, Thriller;Benjamin Roberds, Jordan Reyes;Benjamin Roberds;Eva Boehnke, David Chandler, Maxwell Moody;A surreal take on the zombie genre.;English;USA;6.2;NULL;NULL
The Wolverine;2013;PG-13;126;Action, Adventure, Sci-Fi;James Mangold;Mark Bomback (screenplay), Scott Frank (screenplay);Hugh Jackman, Tao Okamoto, Rila Fukushima, Hiroyuki Sanada;When Wolverine is summoned to Japan by an old acquaintance, he is embroiled in a conflict that forces him to confront his own demons.;English, Japanese;USA, UK, Australia, Japan;6.7;132550960;20th Century Fox
The Way Way Back;2013;PG-13;103;Comedy, Drama;Nat Faxon, Jim Rash;Nat Faxon, Jim Rash;Steve Carell, Toni Collette, Allison Janney, AnnaSophia Robb;Shy 14-year-old Duncan goes on summer vacation with his mother, her overbearing boyfriend, and her boyfriend's daughter. Having a rough time fitting in, Duncan finds an unexpected friend in Owen, manager of the Water Wizz water park.;English;USA;7.4;21501098;Fox Searchlight
